title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Christiane F.,movie,"Biography, Drama",1981,tt0082176,7.5,32681,
Double Impact,movie,"Action, Crime",1991,tt0101764,5.6,45996,
The Blob,movie,"Horror, Sci-Fi, Thriller",1988,tt0094761,6.7,47116,
Red Heat,movie,"Action, Comedy, Crime",1988,tt0095963,6.1,79303,
Super Mario Bros.,movie,"Adventure, Comedy, Family",1993,tt0108255,4.2,65922,
Coneheads,movie,"Comedy, Sci-Fi",1993,tt0106598,5.5,60194,
Happy Gilmore,movie,"Comedy, Sport",1996,tt0116483,7,266244,
The Fast and the Furious: Tokyo Drift,movie,"Action, Crime, Thriller",2006,tt0463985,6.1,317310,
Dante's Peak,movie,"Action, Adventure, Thriller",1997,tt0118928,6.1,103932,
Paycheck,movie,"Action, Mystery, Sci-Fi",2003,tt0338337,6.3,116219,
Elizabethtown,movie,"Comedy, Drama, Romance",2005,tt0368709,6.3,74246,
Beverly Hills Ninja,movie,"Action, Comedy",1997,tt0118708,5.6,45513,
Red Sonja,movie,"Action, Adventure, Fantasy",1985,tt0089893,5.1,46605,
The Negotiator,movie,"Action, Crime, Drama",1998,tt0120768,7.3,160683,
Phantasm,movie,"Horror, Sci-Fi",1979,tt0079714,6.6,43276,
Scrooged,movie,"Comedy, Drama, Fantasy",1988,tt0096061,6.9,123631,
The Passenger,movie,"Drama, Thriller",1975,tt0073580,7.4,27813,
Mädchen in Uniform,movie,"Drama, Romance",1931,tt0022183,7.5,4102,
The Italian Job,movie,"Action, Crime, Thriller",2003,tt0317740,7,399936,
She's the Man,movie,"Comedy, Romance, Sport",2006,tt0454945,6.4,185339,
Black Christmas,movie,Horror,2006,tt0454082,4.7,32165,
Ring 2,movie,"Horror, Mystery, Sci-Fi",1999,tt0218553,5.9,15404,
Ring 0: Birthday,movie,"Horror, Mystery, Thriller",2000,tt0235712,5.9,10394,
The Black Dahlia,movie,"Crime, Drama, Mystery",2006,tt0387877,5.6,78711,
Uncle Sam,movie,"Comedy, Horror",1996,tt0118025,4.6,3957,
Igby Goes Down,movie,"Comedy, Drama",2002,tt0280760,6.8,36682,
Children of Men,movie,"Drama, Sci-Fi, Thriller",2006,tt0206634,7.9,549609,
One Missed Call,movie,"Horror, Mystery",2003,tt0366292,6.2,20148,
Straight to Hell,movie,"Action, Comedy, Western",1987,tt0094048,5.6,2914,
Trail of the Pink Panther,movie,"Comedy, Crime, Mystery",1982,tt0084814,4.8,11795,
The Last Legion,movie,"Action, Adventure, History",2007,tt0462396,5.4,37806,
Spiral,movie,"Drama, Fantasy, Horror",1998,tt0134928,5.2,4339,
The Wicker Man,movie,"Horror, Mystery, Thriller",2006,tt0450345,3.8,73531,
Pumpkin,movie,"Comedy, Drama, Romance",2002,tt0265591,6.1,9867,
Friday the 13th Part 2,movie,"Horror, Mystery, Thriller",1981,tt0082418,6.1,83290,
Friday the 13th: Part 3,movie,"Horror, Thriller",1982,tt0083972,5.6,64611,
Friday the 13th: The Final Chapter,movie,"Horror, Thriller",1984,tt0087298,6,63426,
Friday the 13th: A New Beginning,movie,"Horror, Mystery, Thriller",1985,tt0089173,4.8,47157,
Bad Boys,movie,"Action, Comedy, Crime",1995,tt0112442,6.8,306667,
Balls of Fury,movie,"Comedy, Crime, Sport",2007,tt0424823,5.4,45996,
Step Up,movie,"Crime, Drama, Music",2006,tt0462590,6.5,131035,
Gridiron Gang,movie,"Biography, Crime, Drama",2006,tt0421206,7.1,82657,
The Break-Up,movie,"Comedy, Drama, Romance",2006,tt0452594,5.8,142539,
Lolita,movie,"Drama, Romance",1997,tt0119558,6.8,71243,
Air Force One,movie,"Action, Crime, Drama",1997,tt0118571,6.5,218745,
Head of State,movie,Comedy,2003,tt0325537,5.5,21769,
Man About Town,movie,"Comedy, Drama",2006,tt0420757,5.5,8555,
Accepted,movie,Comedy,2006,tt0384793,6.4,143090,
Turistas,movie,"Horror, Mystery, Thriller",2006,tt0454970,5.4,41763,
The Fast and the Furious,movie,"Action, Crime, Thriller",2001,tt0232500,6.8,439955,
Bridget Jones: The Edge of Reason,movie,"Comedy, Drama, Romance",2004,tt0317198,6,129691,
The Rock,movie,"Action, Adventure, Thriller",1996,tt0117500,7.4,371088,
Seven Dwarves,movie,"Comedy, Family, Fantasy",2004,tt0382295,4.8,6665,
Waterworld,movie,"Action, Adventure, Sci-Fi",1995,tt0114898,6.3,218846,
The Quiet,movie,"Crime, Drama, Thriller",2005,tt0414951,6.1,18018,
Save the Last Dance,movie,"Drama, Music, Romance",2001,tt0206275,6.2,67833,
Mystery Men,movie,"Action, Comedy, Fantasy",1999,tt0132347,6.1,72672,
The Phantom,movie,"Action, Adventure, Comedy",1996,tt0117331,5.1,36863,
Phantoms,movie,"Horror, Sci-Fi, Thriller",1998,tt0119891,5.4,23681,
Unknown,movie,"Crime, Drama, Mystery",2006,tt0450340,6.4,32042,
United 93,movie,"Action, Drama, History",2006,tt0475276,7.6,113581,
School for Scoundrels,movie,Comedy,2006,tt0462519,5.9,31393,
Patriot Games,movie,"Action, Thriller",1992,tt0105112,6.8,125189,
Forgetting Sarah Marshall,movie,"Comedy, Drama, Romance",2008,tt0800039,7.1,312274,
Ginger Snaps,movie,"Drama, Fantasy, Horror",2000,tt0210070,6.8,55501,
F/X,movie,"Action, Thriller",1986,tt0089118,6.7,23881,
The Pharmacist,movie,"Comedy, Crime, Drama",1997,tt0118633,5.9,1004,
The Siege,movie,"Action, Thriller",1998,tt0133952,6.4,80878,
The Stepford Wives,movie,"Comedy, Horror, Sci-Fi",2004,tt0327162,5.4,72220,
Man of the Year,movie,"Comedy, Drama, Romance",2006,tt0483726,6.2,36278,
Rat Race,movie,"Action, Adventure, Comedy",2001,tt0250687,6.5,127294,
Shallow Grave,movie,"Crime, Drama, Thriller",1994,tt0111149,7.2,68905,
Barnyard,movie,"Adventure, Animation, Comedy",2006,tt0414853,5.6,36780,
Two for the Money,movie,"Crime, Drama, Sport",2005,tt0417217,6.2,51892,
The Skeleton Key,movie,"Drama, Horror, Mystery",2005,tt0397101,6.5,128088,
Waist Deep,movie,"Action, Crime, Drama",2006,tt0456020,5.8,10734,
How to Lose a Guy in 10 Days,movie,"Comedy, Romance",2003,tt0251127,6.5,300629,
Blades of Glory,movie,"Comedy, Sport",2007,tt0445934,6.3,182006,
Lord of the Flies,movie,"Adventure, Drama, Thriller",1963,tt0057261,6.9,21267,
Premonition,movie,"Drama, Fantasy, Mystery",2007,tt0477071,5.9,83565,
Uncommon Valor,movie,"Action, Drama, Thriller",1983,tt0086508,6.3,12456,
Curious George,movie,"Adventure, Animation, Comedy",2006,tt0381971,6.5,18944,
Satan's Little Helper,movie,"Comedy, Horror",2004,tt0380687,5.3,7117,
Stormbreaker,movie,"Action, Adventure, Family",2006,tt0457495,5.1,26159,
Charlotte's Web,movie,"Adventure, Comedy, Family",2006,tt0413895,6.3,48507,
Mean Machine,movie,"Comedy, Crime, Drama",2001,tt0291341,6.4,43097,
Arthur and the Invisibles,movie,"Adventure, Animation, Comedy",2006,tt0344854,6,42939,
Turn It Up,movie,"Action, Crime, Drama",2000,tt0216772,4.1,1476,
The Free Will,movie,"Crime, Drama",2006,tt0499101,7.4,3373,
The Saint,movie,"Action, Adventure, Romance",1997,tt0120053,6.2,75882,
Cursed,movie,"Comedy, Horror, Mystery",2005,tt0257516,5.1,36427,
The Wraith,movie,"Action, Horror, Romance",1986,tt0092240,5.9,20795,
Unleashed,movie,"Action, Crime, Thriller",2005,tt0342258,7,110317,
Honey,movie,"Drama, Music, Romance",2003,tt0322589,5.3,48639,
Good Luck Chuck,movie,"Comedy, Romance",2007,tt0452625,5.6,97174,
Van Wilder: The Rise of Taj,movie,"Comedy, Romance",2006,tt0480271,4.8,24465,
7 Dwarves: The Forest Is Not Enough,movie,"Comedy, Fantasy",2006,tt0461642,4.2,4236,
Spy Kids,movie,"Action, Adventure, Comedy",2001,tt0227538,5.6,132290,
Room 6,movie,"Horror, Mystery, Thriller",2006,tt0451187,4.1,4360,
Killer's Kiss,movie,"Crime, Drama, Film-Noir",1955,tt0048254,6.5,27266,
Get Rich or Die Tryin',movie,"Biography, Crime, Drama",2005,tt0430308,5.5,52191,
Escape from L.A.,movie,"Action, Adventure, Sci-Fi",1996,tt0116225,5.7,83593,
Edison,movie,"Action, Crime, Drama",2005,tt0389957,5.3,16701,
Hot Rod,movie,"Comedy, Sport",2007,tt0787475,6.7,96799,
No Way Out,movie,"Action, Crime, Drama",1987,tt0093640,7.1,51771,
13 Going on 30,movie,"Comedy, Fantasy, Romance",2004,tt0337563,6.3,235477,
The Tiger's Tail,movie,"Comedy, Crime, Drama",2006,tt0490499,5.8,1509,
The Kid,movie,"Comedy, Drama, Family",1921,tt0012349,8.2,141972,
Dorm Daze 2,movie,Comedy,2006,tt0458438,4.1,5626,
Colors,movie,"Action, Crime, Drama",1988,tt0094894,6.7,31532,
Road House,movie,"Action, Thriller",1989,tt0098206,6.7,107865,
The Golden Child,movie,"Action, Adventure, Comedy",1986,tt0091129,6,61907,
Milk,movie,"Biography, Drama, History",2008,tt1013753,7.5,183268,
Dirty Rotten Scoundrels,movie,"Comedy, Crime",1988,tt0095031,7.4,83101,
Bad Santa,movie,"Comedy, Crime, Drama",2003,tt0307987,7,161824,
Krystal,movie,"Comedy, Drama",2017,tt0835802,5.5,1809,
The Rundown,movie,"Action, Adventure, Comedy",2003,tt0327850,6.7,146832,
Waking Ned Devine,movie,Comedy,1998,tt0166396,7.3,29109,
The Lawnmower Man,movie,"Horror, Sci-Fi",1992,tt0104692,5.4,40974,
Men at Work,movie,"Action, Comedy, Crime",1990,tt0100135,5.9,28502,
Voyager,movie,"Drama, Romance",1991,tt0102050,6.7,3705,
Frozen River,movie,"Crime, Drama",2008,tt0978759,7.1,26915,
He's Just Not That Into You,movie,"Comedy, Drama, Romance",2009,tt1001508,6.4,189090,
The Midnight Meat Train,movie,"Horror, Mystery, Thriller",2008,tt0805570,6,73845,
Shrek Forever After,movie,"Adventure, Animation, Comedy",2010,tt0892791,6.3,236408,
The Last Airbender,movie,"Action, Adventure, Family",2010,tt0938283,4,178812,
Nine,movie,"Drama, Musical, Romance",2009,tt0875034,5.8,46031,
Around the World in 80 Days,movie,"Action, Adventure, Comedy",2004,tt0327437,5.9,97774,
From Dusk Till Dawn 3: The Hangman's Daughter,movie,"Horror, Thriller, Western",1999,tt0120695,4.8,13105,
Swingers,movie,"Comedy, Drama",1996,tt0117802,7.2,90775,
Rounders,movie,"Crime, Drama",1998,tt0128442,7.3,164998,
Kickboxer,movie,"Action, Sport, Thriller",1989,tt0097659,6.4,64315,
A Simple Plan,movie,"Crime, Drama, Thriller",1998,tt0120324,7.5,80149,
Friday the 13th Part VI: Jason Lives,movie,"Horror, Thriller",1986,tt0091080,6,54780,
High Tension,movie,Horror,2003,tt0338095,6.7,80873,
Playtime,movie,Comedy,1967,tt0062136,7.8,27987,
Foxfire,movie,"Action, Drama, Romance",1955,tt0048091,6.2,608,
The Honeymoon Killers,movie,"Crime, Drama, Romance",1970,tt0064437,7,6224,
Cries & Whispers,movie,Drama,1972,tt0069467,7.9,38678,
Autumn Tale,movie,"Comedy, Drama, Romance",1998,tt0137439,7.4,6687,
A Tale of Winter,movie,"Drama, Romance",1992,tt0104008,7.2,6654,
Switch,movie,"Comedy, Fantasy",1991,tt0103016,5.8,10964,
Yentl,movie,"Drama, Musical, Romance",1983,tt0086619,6.6,16917,
Thinner,movie,"Fantasy, Horror",1996,tt0117894,5.8,35417,
Friday the 13th: The New Blood,movie,"Horror, Thriller",1988,tt0095179,5.2,45319,
Friday the 13th Part VIII: Jason Takes Manhattan,movie,"Adventure, Horror, Thriller",1989,tt0097388,4.5,46080,
Fido,movie,"Comedy, Drama, Horror",2006,tt0457572,6.7,30719,
Pauline at the Beach,movie,"Comedy, Drama, Romance",1983,tt0086087,7.3,11196,
Vacancy,movie,"Horror, Thriller",2007,tt0452702,6.2,111185,
Miami Supercops,movie,"Action, Comedy, Crime",1985,tt0089591,6.1,8751,
Poltergeist III,movie,"Horror, Thriller",1988,tt0095889,4.7,21688,
Stigmata,movie,"Horror, Mystery",1999,tt0145531,6.2,74975,
The Bitter Tears of Petra von Kant,movie,"Drama, Romance",1972,tt0068278,7.5,11915,
Patch Adams,movie,"Biography, Comedy, Drama",1998,tt0129290,6.8,126678,
The Men Who Stare at Goats,movie,"Comedy, War",2009,tt1234548,6.2,140143,
The Ides of March,movie,"Drama, Thriller",2011,tt1124035,7.1,235812,
Woyzeck,movie,Drama,1979,tt0080149,7,11006,
The Ring Two,movie,"Horror, Mystery",2005,tt0377109,5.4,103911,
"Legally Blonde 2: Red, White & Blonde",movie,Comedy,2003,tt0333780,4.8,76332,
Congo,movie,"Action, Adventure, Mystery",1995,tt0112715,5.3,50780,
Night of the Living Dead,movie,"Horror, Thriller",1968,tt0063350,7.8,145900,
The Prince of Tides,movie,"Drama, Romance",1991,tt0102713,6.8,20723,
Spawn,movie,"Action, Crime, Drama",1997,tt0120177,5.2,74753,
Moby Dick,movie,"Adventure, Drama",1956,tt0049513,7.3,23264,
Until the End of the World,movie,"Action, Drama, Sci-Fi",1991,tt0101458,6.8,12004,
Teaching Mrs. Tingle,movie,"Comedy, Thriller",1999,tt0133046,5.3,22240,
Zack and Miri Make a Porno,movie,"Comedy, Romance",2008,tt1007028,6.5,184912,
Ginger Snaps 2: Unleashed,movie,"Horror, Thriller",2004,tt0353489,6.4,16079,
Purple Noon,movie,"Crime, Drama, Thriller",1960,tt0054189,7.7,22499,
Catch-22,movie,"Comedy, Drama, War",1970,tt0065528,7.1,27642,
My Cousin Vinny,movie,"Comedy, Crime",1992,tt0104952,7.6,151011,
Supernova,movie,"Horror, Sci-Fi, Thriller",2000,tt0134983,4.8,20422,
HouseSitter,movie,"Comedy, Romance",1992,tt0104452,6.2,27960,
The Distinguished Gentleman,movie,"Comedy, Crime",1992,tt0104114,5.9,17546,
Hackers,movie,"Crime, Drama, Romance",1995,tt0113243,6.2,78605,
War,movie,"Action, Thriller",2007,tt0499556,6.2,99634,
"Faraway, So Close!",movie,"Drama, Fantasy, Romance",1993,tt0107209,7.2,9529,
Chaplin,movie,"Biography, Comedy, Drama",1992,tt0103939,7.5,64319,
Beethoven's 2nd,movie,"Comedy, Family, Romance",1993,tt0106375,5,30746,
Come Sweet Death,movie,"Comedy, Mystery, Thriller",2000,tt0271029,7.5,3543,
Down to You,movie,"Comedy, Drama, Romance",2000,tt0186975,5,16087,
Dragonheart: A New Beginning,movie,"Action, Adventure, Comedy",1999,tt0214641,4.5,5272,
Hustle & Flow,movie,"Crime, Drama, Music",2005,tt0410097,7.3,44609,
Rules of Engagement,movie,"Drama, Thriller, War",2000,tt0160797,6.4,51706,
Death Race,movie,"Action, Sci-Fi, Thriller",2008,tt0452608,6.4,224671,
The ComDads,movie,"Comedy, Crime",1983,tt0085354,6.9,7195,
Cujo,movie,"Horror, Thriller",1983,tt0085382,6.1,53575,
Perfect Blue,movie,"Animation, Crime, Drama",1997,tt0156887,8,109195,
The Road to El Dorado,movie,"Adventure, Animation, Comedy",2000,tt0138749,6.9,114575,
Marathon Man,movie,"Crime, Drama, Thriller",1976,tt0074860,7.4,73144,
The Flying Classroom,movie,"Comedy, Drama, Family",2003,tt0311141,6.2,1485,
Madagascar: Escape 2 Africa,movie,"Adventure, Animation, Comedy",2008,tt0479952,6.6,261019,
Sherlock Holmes,movie,"Action, Adventure, Mystery",2009,tt0988045,7.5,692244,
Outlander,movie,"Action, Adventure, Sci-Fi",2008,tt0462465,6.2,80317,
The Italian Job,movie,"Action, Comedy, Crime",1969,tt0064505,7.2,52560,
Ned Kelly,movie,"Action, Adventure, Biography",2003,tt0277941,6.4,28768,
The Crow: City of Angels,movie,"Action, Crime, Fantasy",1996,tt0115986,4.6,22973,
When We Were Kings,movie,"Documentary, Sport",1996,tt0118147,7.9,19941,
Child's Play,movie,"Horror, Thriller",1988,tt0094862,6.7,125731,
The Cat in the Hat,movie,"Adventure, Comedy, Family",2003,tt0312528,4.1,91415,
Hart's War,movie,"Drama, War",2002,tt0251114,6.4,56771,
Replicant,movie,"Action, Sci-Fi, Thriller",2001,tt0238552,5.4,16242,
Peter Pan,movie,"Adventure, Family, Fantasy",2003,tt0316396,6.8,82949,
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,movie,"Comedy, Crime",1996,tt0116126,6.5,65044,
The Englishman Who Went Up a Hill But Came Down a Mountain,movie,"Comedy, Drama, Romance",1995,tt0112966,6.6,19290,
Mean Girls,movie,Comedy,2004,tt0377092,7.1,464547,
The Hunted,movie,"Action, Crime, Drama",2003,tt0269347,6.1,53305,
Hamburger Hill,movie,"Action, Drama, Thriller",1987,tt0093137,6.7,29113,
It Could Happen to You,movie,"Comedy, Drama, Romance",1994,tt0110167,6.4,46947,
[Rec]²,movie,"Horror, Thriller",2009,tt1245112,6.5,82009,
The Strangers,movie,"Horror, Mystery, Thriller",2008,tt0482606,6.1,152031,
Dirty Dancing: Havana Nights,movie,"Drama, Music, Romance",2004,tt0338096,5.9,30305,
Mimic 2,movie,"Horror, Sci-Fi, Thriller",2001,tt0239641,4.6,6378,
The Day of the Beast,movie,"Action, Comedy, Crime",1995,tt0112922,7.3,25145,
Bulletproof,movie,"Action, Comedy, Crime",1996,tt0115783,5.8,41419,
American Psycho II: All American Girl,movie,"Horror, Thriller",2002,tt0283877,3.7,18932,
King Kong,movie,"Adventure, Horror",1976,tt0074751,6,37210,
Escape from Alcatraz,movie,"Biography, Crime, Drama",1979,tt0079116,7.5,157759,
Bobby,movie,"Biography, Drama, History",2006,tt0308055,7,43489,
The Cooler,movie,"Drama, Romance",2003,tt0318374,6.9,36497,
Made of Honor,movie,"Comedy, Romance",2008,tt0866439,5.8,78238,
Without a Paddle,movie,"Adventure, Comedy, Mystery",2004,tt0364751,5.8,52982,
Quantum of Solace,movie,"Action, Adventure, Mystery",2008,tt0830515,6.5,484348,
The Sheriff and the Satellite Kid,movie,"Action, Comedy, Family",1979,tt0079859,6.1,4490,
The Tuxedo,movie,"Action, Comedy, Sci-Fi",2002,tt0290095,5.4,91367,
The Frighteners,movie,"Comedy, Drama, Fantasy",1996,tt0116365,7.1,99379,
Overboard,movie,"Comedy, Romance",1987,tt0093693,6.9,72630,
The Thing from Another World,movie,"Horror, Sci-Fi",1951,tt0044121,7,35436,
Robin and Marian,movie,"Adventure, Drama, Romance",1976,tt0075147,6.5,14608,
Kambakkht Ishq,movie,"Action, Comedy, Romance",2009,tt1144804,3.9,7796,
The Party,movie,"Comedy, Romance",1968,tt0063415,7.4,45697,
Sky Fighters,movie,"Action, Adventure, Drama",2005,tt0421974,5.7,4854,
In & Out,movie,"Comedy, Romance",1997,tt0119360,6.4,45621,
Children of the Corn,movie,"Horror, Thriller",1984,tt0087050,5.6,60379,
Candyman: Farewell to the Flesh,movie,"Horror, Thriller",1995,tt0112625,5.3,15189,
The Draughtsman's Contract,movie,"Comedy, Drama, Mystery",1982,tt0083851,7.2,11671,
Them,movie,"Horror, Thriller",2006,tt0465203,6.3,33189,
Kings of the Road,movie,Drama,1976,tt0073152,7.6,6900,
Cross of Iron,movie,"Drama, War",1977,tt0074695,7.4,30583,
Lord of the Flies,movie,"Adventure, Drama, Thriller",1990,tt0100054,6.4,35401,
Kehraus,movie,"Comedy, Romance",1983,tt0085781,7.1,733,
Eye of the Needle,movie,"Romance, Thriller, War",1981,tt0082351,7.1,13473,
The Accused,movie,"Crime, Drama",1988,tt0094608,7.1,41893,
Switchback,movie,"Crime, Mystery, Thriller",1997,tt0119210,6.4,15738,
Shutter,movie,"Horror, Mystery, Thriller",2008,tt0482599,5.2,38873,
The Little Rascals,movie,"Comedy, Family, Romance",1994,tt0110366,6.3,59455,
Seven Days Sunday,movie,Drama,2007,tt0484888,5.9,302,
Pet Sematary II,movie,"Fantasy, Horror, Thriller",1992,tt0105128,4.9,24487,
Kalifornia,movie,"Crime, Drama, Thriller",1993,tt0107302,6.7,60628,
Moulin Rouge,movie,"Biography, Drama, Music",1952,tt0044926,7,6997,
The Return of the Living Dead,movie,"Comedy, Horror, Sci-Fi",1985,tt0089907,7.3,73839,
Willard,movie,"Drama, Horror, Thriller",2003,tt0310357,6.1,21031,
Heaven's Gate,movie,"Adventure, Drama, Western",1980,tt0080855,6.7,18389,
Beautiful Thing,movie,"Comedy, Drama, Romance",1996,tt0115640,7.6,26701,
The Return of the Tall Blond Man,movie,Comedy,1974,tt0072080,6.6,4292,
In the Cut,movie,"Mystery, Thriller",2003,tt0199626,5.4,27291,
Oliver Twist,movie,Drama,1948,tt0040662,7.8,14422,
Halloween: The Curse of Michael Myers,movie,"Horror, Thriller",1995,tt0113253,4.7,44581,
Fatal Attraction,movie,"Drama, Thriller",1987,tt0093010,6.9,106966,
Blue Streak,movie,"Action, Comedy, Crime",1999,tt0181316,6.4,91930,
Saturday Night Fever,movie,"Drama, Music",1977,tt0076666,6.8,91768,
Damage,movie,"Drama, Romance",1992,tt0104237,6.7,21664,
Secretary,movie,"Comedy, Drama, Romance",2002,tt0274812,6.9,105102,
Billy Madison,movie,Comedy,1995,tt0112508,6.4,162821,
Year of the Dragon,movie,"Action, Crime, Drama",1985,tt0090350,6.8,18980,
Dressed to Kill,movie,"Crime, Drama, Mystery",1980,tt0080661,7.1,52976,
The Great Gatsby,movie,"Drama, Romance",1974,tt0071577,6.4,27708,
Little Big Man,movie,"Adventure, Drama, Western",1970,tt0065988,7.5,39314,
Arizona Dream,movie,"Comedy, Drama, Fantasy",1993,tt0106307,7.2,46978,
Taxi,movie,"Action, Comedy, Crime",2004,tt0316732,4.6,46313,
Terms of Endearment,movie,"Comedy, Drama",1983,tt0086425,7.4,68499,
Godsend,movie,"Action, Drama, Fantasy",2004,tt0335121,4.8,26988,
Internal Affairs,movie,"Crime, Drama, Thriller",1990,tt0099850,6.5,24027,
Boomerang,movie,"Comedy, Drama, Romance",1992,tt0103859,5.6,32611,
Audition,movie,"Drama, Horror, Mystery",1999,tt0235198,7.1,95249,
The Animal,movie,"Comedy, Sci-Fi",2001,tt0255798,4.9,65996,
The Final Cut,movie,"Drama, Sci-Fi, Thriller",2004,tt0364343,6.1,35341,
Stalingrad,movie,"Drama, War",1993,tt0108211,7.5,39220,
Vera Drake,movie,"Crime, Drama",2004,tt0383694,7.6,27949,
My Fair Lady,movie,"Drama, Family, Musical",1964,tt0058385,7.7,105369,
Tess,movie,"Drama, Romance",1979,tt0080009,7.3,19151,
Poltergeist II: The Other Side,movie,Horror,1986,tt0091778,5.7,31692,
The Prince and Me,movie,"Comedy, Family, Romance",2004,tt0337697,5.9,42941,
The Ruins,movie,"Adventure, Horror, Thriller",2008,tt0963794,5.9,88145,
Coco Before Chanel,movie,"Biography, Drama",2009,tt1035736,6.6,43035,
She-Devil,movie,Comedy,1989,tt0098309,5.7,20322,
Peeping Tom,movie,"Drama, Horror, Thriller",1960,tt0054167,7.6,42175,
Mystic Pizza,movie,"Comedy, Drama, Romance",1988,tt0095690,6.4,35038,
The Alamo,movie,"Adventure, Drama, History",1960,tt0053580,6.8,18808,
Bring It on: All or Nothing,movie,"Comedy, Sport",2006,tt0490822,5.6,23050,
Baby Boom,movie,"Comedy, Drama, Romance",1987,tt0092605,6.3,20193,
Best Defense,movie,"Comedy, War",1984,tt0086955,3.8,6606,
The American Friend,movie,"Crime, Drama, Mystery",1977,tt0075675,7.4,20146,
Daylight,movie,"Action, Adventure, Drama",1996,tt0116040,6,79389,
Freeway,movie,"Crime, Drama, Thriller",1996,tt0116361,6.8,33355,
My Beautiful Laundrette,movie,"Comedy, Drama, Romance",1985,tt0091578,6.8,18105,
Hellraiser: Hellseeker,movie,"Horror, Mystery, Thriller",2002,tt0274546,4.8,15272,
A Room with a View,movie,"Drama, Romance",1985,tt0091867,7.2,50592,
Far and Away,movie,"Adventure, Drama, Romance",1992,tt0104231,6.6,70802,
Harold & Kumar Go to White Castle,movie,"Adventure, Comedy",2004,tt0366551,7,212226,
Nanny McPhee,movie,"Comedy, Family, Fantasy",2005,tt0396752,6.6,89080,
Paper Moon,movie,"Comedy, Crime, Drama",1973,tt0070510,8.1,55429,
Something Wild,movie,"Comedy, Crime, Romance",1986,tt0091983,6.9,22631,
Mystery Train,movie,"Comedy, Crime, Drama",1989,tt0097940,7.5,32098,
The Madness of King George,movie,"Biography, Comedy, Drama",1994,tt0110428,7.2,19458,
Public Enemies,movie,"Biography, Crime, Drama",2009,tt1152836,6.9,329459,
Shutter Island,movie,"Drama, Mystery, Thriller",2010,tt1130884,8.2,1559497,
Runaway Jury,movie,"Crime, Drama, Thriller",2003,tt0313542,7.1,116415,
Super Fuzz,movie,"Action, Comedy, Fantasy",1980,tt0082924,6.3,8726,
Banana Joe,movie,"Action, Comedy",1982,tt0082045,6.3,9356,
A Bittersweet Life,movie,"Action, Crime, Drama",2005,tt0456912,7.5,45225,
Fragile,movie,"Horror, Mystery, Thriller",2005,tt0422272,6,18081,
Bowfinger,movie,Comedy,1999,tt0131325,6.5,76339,
The Odd Couple,movie,Comedy,1968,tt0063374,7.6,38952,
Halloween 4: The Return of Michael Myers,movie,"Horror, Thriller",1988,tt0095271,5.8,61893,
Walking Tall,movie,"Action, Crime",2004,tt0351977,6.3,112607,
Halloween 5: The Revenge of Michael Myers,movie,"Horror, Thriller",1989,tt0097474,4.9,49763,
Odds and Evens,movie,"Action, Comedy, Crime",1978,tt0078058,7.1,10672,
The Score,movie,"Crime, Drama, Thriller",2001,tt0227445,6.8,140128,
The Eagle Has Landed,movie,"Adventure, Drama, Thriller",1976,tt0074452,6.9,26025,
Edtv,movie,"Comedy, Drama",1999,tt0131369,6.1,46015,
Traffic,movie,Comedy,1971,tt0069400,7,8028,
The Crying Game,movie,"Crime, Drama, Romance",1992,tt0104036,7.2,62060,
The Olsen Gang,movie,"Comedy, Crime, Family",1968,tt0063386,6.6,2711,
The Olsen Gang in Jutland,movie,"Comedy, Crime, Family",1971,tt0067524,7.2,2654,
The Olsen Gang on the Track,movie,"Comedy, Crime, Family",1975,tt0073482,7.2,2303,
The Olsen Gang Sees Red,movie,"Comedy, Crime, Family",1976,tt0075002,7.7,2589,
The Belles of St. Trinian's,movie,"Comedy, Family, Romance",1954,tt0046766,6.7,3047,
The Defiant Ones,movie,"Crime, Drama",1958,tt0051525,7.6,19203,
The Mission,movie,"Adventure, Drama, History",1986,tt0091530,7.4,68905,
The Lift,movie,"Horror, Mystery, Sci-Fi",1983,tt0087622,6.1,8222,
Memories of Murder,movie,"Crime, Drama, Mystery",2003,tt0353969,8.1,244569,
The Ghost Writer,movie,"Crime, Drama, Mystery",2010,tt1139328,7.2,174488,
Halloween: Resurrection,movie,"Horror, Thriller",2002,tt0220506,3.9,51849,
Dead Presidents,movie,"Action, Crime, Drama",1995,tt0112819,6.9,25647,
Welcome to the Dollhouse,movie,"Comedy, Drama",1995,tt0114906,7.3,39108,
The Son's Room,movie,Drama,2001,tt0208990,7.3,22167,
The Amityville Horror,movie,Horror,1979,tt0078767,6.2,47236,
Red Eye,movie,Thriller,2005,tt0421239,6.4,156767,
Battle of Britain,movie,"Action, Drama, History",1969,tt0064072,6.9,25767,
America's Sweethearts,movie,"Comedy, Romance",2001,tt0265029,5.7,62004,
The Warriors,movie,"Action, Crime, Thriller",1979,tt0080120,7.5,116029,
Repulsion,movie,"Drama, Horror, Thriller",1965,tt0059646,7.6,59860,
The Tenant,movie,"Drama, Thriller",1976,tt0074811,7.5,49855,
Rollerball,movie,"Action, Sci-Fi, Sport",1975,tt0073631,6.5,31030,
They Call Me Renegade,movie,"Action, Adventure, Comedy",1987,tt0095975,6.2,3402,
