ID	Gender	Age	Org_type	Role	info_work	info_org	info_vision	info_change	info_intracomm	info_mgmttrust	info_mgmttocow	info_cowtomgmt	org_openmind	org_intracommtrust	org_participation	org_gossip	org_discuss_mediaimage	org_discuss_news	org_discuss_meetings	org_email	org_discuss_socmedia	org_discuss_consumer	cow_com_dialogue	cow_com_criticism	cow_com_feedback	cow_com_checkinfo	cow_com_speakwell	rarversioncow_com_responsibility	extcomm	femcomm_performance	femcomm_mgmt	femcomm_opportunity	femcomm_support	femcomm_barriers	publicimage_competence	publicImage_responsibility	publicImage_openess	publicImage_efficiency	publicImage_credibility	publicImage_visibility	stakeholderimage_competence	stakeholderimage_responsibility	stakeholmderimage_openess	stakeholderimage_efficiency	stakeholderimage_credibility	stakeholderimage_visibility	mediaimage_correct	mediaimage_fair	mediaimage_nuance	socialmediaimage_correct	socialmediaimage_fair	socialmediaimage_nuance	mediaimage_feeling	mediaimage_workeffect	mediaimage_importance	mediaimage_reactions	mediaimage_fakenews
1280	Female	1975.0	Private	Coworker	2.0		5.0	5.0	2.0	5.0			2.0	5.0	4.0	4.0	4.0	3.0	3.0	2.0	1.0	5.0	4.0	4.0	4.0	4.0	4.0	2.0	5.0						4.0	4.0	2.0	3.0	4.0	5.0	4.0	4.0	3.0	1.0	4.0	5.0	2.0		2.0				3.0	3.0		2.0	
1281	Male	1977.0	Private	Manager	5.0	5.0	5.0	5.0	4.0	5.0	3.0	3.0	5.0	5.0	5.0	4.0	3.0	4.0	5.0	2.0	3.0	5.0							5.0												4.0	4.0	2.0	2.0	4.0	4.0							4.0			1.0	
1282	Male	1967.0	Private	Coworker	5.0	5.0	5.0	4.0	4.0	5.0	3.0	3.0	4.0	5.0	5.0	3.0	4.0	2.0	4.0	4.0	3.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0						5.0	4.0	3.0	4.0	4.0	5.0	5.0	4.0	3.0	4.0	4.0	5.0	5.0	2.0					4.0	3.0	1.0	4.0	5.0
1283	Female	1953.0	Private	Coworker	4.0	5.0	5.0	5.0	4.0	5.0	1.0	1.0	5.0	5.0	5.0	2.0	4.0	3.0	4.0	2.0	2.0	4.0	4.0	2.0	2.0	4.0	5.0	5.0	3.0						5.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0	5.0	3.0	3.0	3.0				5.0	3.0	5.0	1.0	3.0
1284	Male	1981.0	Private	Coworker	2.0	2.0	4.0	4.0	2.0	4.0	1.0	1.0	5.0	4.0	5.0	2.0	2.0	5.0	3.0	1.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0	2.0	5.0						4.0	4.0	4.0	2.0	4.0	3.0							2.0	4.0	4.0	3.0	3.0	3.0	5.0	2.0	5.0	5.0	5.0
1285	Male	1969.0	Private	Coworker	3.0	4.0	4.0	4.0	2.0	4.0	3.0	2.0	4.0	4.0	5.0	5.0	3.0	3.0	2.0	2.0	2.0	3.0	4.0	5.0	4.0	4.0	4.0	3.0	4.0						4.0	4.0	2.0	3.0	4.0	2.0	4.0	5.0	3.0	3.0	4.0	4.0	4.0	4.0	3.0				4.0	3.0	4.0	2.0	4.0
1286	Male	1981.0	Private	Coworker	2.0	3.0	4.0	4.0	1.0	2.0	3.0	2.0	2.0	4.0	2.0	5.0	2.0	2.0	1.0	1.0	1.0	2.0	4.0	5.0	4.0	3.0	4.0	5.0	2.0						4.0	3.0	1.0	2.0	2.0	2.0	4.0	4.0	1.0	2.0	3.0	2.0									5.0	4.0	4.0
1287	Male	1975.0	Private	Coworker	5.0	5.0	5.0	5.0	5.0	5.0	1.0	1.0	5.0	4.0	5.0	4.0	3.0	4.0	4.0	3.0	2.0	5.0	4.0	5.0	3.0	5.0	4.0	4.0							5.0	5.0	4.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0				4.0	5.0	4.0	3.0	2.0
1288	Female	1981.0	Private	Coworker	4.0	2.0	5.0	4.0	2.0	5.0	2.0	2.0	4.0	5.0	5.0	1.0	5.0	5.0	4.0	2.0	5.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0						5.0	5.0	4.0	5.0	5.0	2.0	5.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0		3.0	4.0	5.0
1289	Male	1974.0	Private	Coworker	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	1.0	3.0	4.0	3.0	3.0	4.0	4.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0						5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	3.0	4.0	5.0	4.0
1290	Male	1950.0	Private	Coworker	4.0	4.0		4.0	4.0	4.0	5.0	4.0	2.0	3.0	4.0	3.0	2.0	2.0	4.0	3.0	2.0	2.0	3.0	5.0	4.0	5.0	4.0	3.0	4.0						4.0	4.0	3.0	2.0	4.0	4.0	4.0	4.0	3.0	2.0	2.0	4.0	4.0	2.0	4.0		4.0	4.0	3.0	3.0	4.0	5.0	5.0
1291	Female	1976.0	Private	Communicator or equivalent 	4.0	3.0	4.0	4.0	2.0	3.0	1.0	1.0	4.0	5.0	4.0	1.0	3.0	3.0	4.0	1.0	1.0	4.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	1.0	2.0	2.0	1.0	2.0	4.0	2.0	4.0	4.0	5.0	4.0	4.0	4.0	5.0	2.0	5.0	4.0	5.0	5.0	4.0					3.0	2.0	2.0	4.0
1292	Female	1979.0	Private	Manager	4.0	4.0	4.0	4.0	2.0	5.0	1.0	1.0	4.0	5.0	3.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0							5.0						5.0	4.0	2.0	2.0	4.0	2.0	4.0	5.0	4.0	3.0	5.0	4.0										1.0	4.0
1293	Female	1957.0	Private	Coworker	2.0	4.0	5.0	2.0	1.0	2.0	3.0	2.0	4.0	3.0	4.0	4.0	2.0	2.0	2.0	2.0	1.0	4.0	5.0	5.0	4.0	4.0	3.0	5.0	5.0						3.0	3.0	3.0	3.0	3.0	1.0	4.0	2.0	5.0	2.0	3.0	5.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	1.0	3.0
1294	Female	1976.0	Private	Coworker	4.0	5.0	5.0	5.0	2.0	5.0		1.0	5.0	5.0	5.0	1.0	1.0	2.0	2.0	2.0	1.0	4.0	3.0	4.0	4.0	5.0	5.0	5.0	5.0						5.0	4.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	3.0	4.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	2.0	3.0	5.0
1295	Male	1968.0	Private	Manager	4.0	4.0	5.0	5.0	4.0	5.0	2.0	2.0	5.0	5.0	5.0	2.0	5.0	5.0	4.0	3.0	3.0	5.0							5.0						5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0				4.0	4.0	4.0					
1296	Female	1967.0	Private	Manager	5.0	5.0	4.0	5.0	2.0	5.0	1.0	1.0	3.0	5.0	4.0	4.0	4.0	4.0	5.0	2.0	2.0	4.0							3.0						5.0	4.0	4.0	3.0	4.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	3.0	3.0	5.0	3.0	3.0	5.0	4.0
1297	Male	1960.0	Private	Coworker	5.0	4.0	5.0	2.0	2.0	2.0	3.0	3.0	4.0	2.0	4.0	1.0	2.0	5.0	5.0	5.0	1.0	4.0	5.0	5.0	4.0	5.0	5.0	4.0	5.0						4.0	5.0	4.0	2.0	3.0	3.0							4.0	4.0	2.0				2.0	3.0	3.0		
1298	Female	1975.0	Private	Communicator or equivalent 	4.0	3.0	4.0	2.0	1.0	2.0	1.0	4.0	2.0	4.0	4.0	4.0	1.0	1.0	5.0	3.0	1.0	5.0	5.0	5.0	3.0	5.0	3.0	5.0	5.0	1.0	1.0	1.0		5.0	4.0	3.0	1.0	3.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	5.0	1.0	
1299	Male	1968.0	Private	Communicator or equivalent 	4.0	3.0	4.0	2.0	2.0	4.0	5.0	4.0	4.0	3.0	2.0	5.0	3.0	4.0	5.0	2.0	1.0	5.0	5.0	2.0	2.0	3.0	4.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	5.0	4.0	2.0	2.0	3.0		4.0	5.0	4.0	2.0	4.0		5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	3.0	1.0
1300	Female	1980.0	Private	Coworker	2.0	2.0	3.0	2.0	2.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0	4.0	5.0	4.0	5.0	4.0	5.0	5.0						4.0	4.0	4.0		4.0	2.0							3.0	4.0	4.0				4.0	3.0	3.0	4.0	4.0
1301	Female	1966.0	Private	Manager	2.0	1.0	2.0	2.0	1.0	5.0	1.0	1.0	5.0	5.0	4.0	5.0	4.0	5.0	4.0	2.0	4.0	5.0							5.0						5.0	5.0	5.0	2.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0	4.0	4.0	2.0	5.0	3.0	2.0	4.0	5.0
1302	Female	1980.0	Private	Coworker	4.0	5.0	5.0	5.0	1.0	3.0	4.0	4.0	4.0	4.0	4.0	3.0	2.0	3.0	5.0	1.0	1.0	5.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0												2.0	2.0	4.0	2.0	2.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	2.0	4.0	4.0
1303	Male	1975.0	Private	Coworker	5.0	5.0	5.0	5.0	5.0	5.0	1.0	1.0	5.0	4.0	5.0	1.0	4.0	5.0	4.0	3.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0						4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0											
1304	Female	1958.0	Private	Coworker	5.0	4.0	4.0	5.0	2.0	5.0	1.0	1.0	2.0	4.0	4.0	1.0	4.0	4.0	4.0	4.0		4.0	4.0	5.0	3.0	5.0	4.0	4.0	4.0						5.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	2.0	5.0	5.0	5.0	5.0	5.0				4.0	3.0	4.0	3.0	4.0
1305	Female	1967.0	Private	Manager	4.0	4.0	5.0	5.0	4.0	4.0	1.0	1.0	4.0	5.0	4.0	3.0	4.0	5.0	4.0	3.0	3.0	5.0							4.0						5.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	5.0	4.0	5.0	5.0											
1306	Female	1957.0	Private	Coworker	2.0	3.0	5.0	4.0	2.0	2.0			4.0	5.0	4.0	2.0	5.0	5.0	3.0	4.0	3.0	4.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0						5.0	5.0	4.0	2.0	5.0	2.0							4.0	4.0	2.0	2.0	4.0	4.0	4.0		4.0	2.0	4.0
1307	Female	1970.0	Private	Coworker	4.0	4.0	4.0		1.0	2.0			2.0	5.0	5.0		1.0	2.0	1.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0						4.0	2.0	4.0	4.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	3.0	3.0	4.0	5.0
1308	Female	1988.0	Private	Coworker	4.0	5.0	5.0	4.0	4.0	5.0		1.0	4.0	5.0	5.0	3.0	4.0	5.0	4.0	4.0	3.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0						5.0	4.0	4.0	3.0	5.0	4.0	5.0	5.0	4.0	2.0	5.0	4.0											
1309	Female	1965.0	Private	Coworker	4.0	4.0	5.0	4.0	4.0	5.0	1.0	1.0	5.0	5.0	5.0	2.0	4.0	4.0	2.0	2.0	2.0	1.0	5.0	5.0	4.0	4.0	5.0	5.0	5.0						4.0	4.0	2.0	2.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	4.0				4.0	4.0	2.0				2.0	5.0
1310	Female	1981.0	Private	Coworker	4.0	4.0	4.0	4.0	2.0	4.0	2.0	2.0	4.0	4.0	4.0	3.0	2.0	3.0	4.0	2.0		2.0	5.0	4.0	4.0	5.0	4.0	4.0	3.0						4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0		4.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	2.0	4.0
1311	Female	1967.0	Private	Coworker	4.0	4.0	4.0	4.0	4.0	4.0			4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0		4.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0						4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0				4.0	3.0	3.0	4.0	3.0
1312	Female	1960.0	Private	Coworker	4.0	5.0	5.0	5.0	4.0	5.0	1.0	1.0	5.0	5.0	4.0	1.0	2.0	2.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0						5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0				5.0	4.0	3.0	2.0	4.0
1313	Male	1972.0	Private	Coworker	3.0	4.0	5.0	5.0	4.0	5.0	2.0	1.0	5.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0						5.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
1314	Female	1952.0	Private	Coworker	4.0	4.0	5.0	5.0	2.0	5.0			4.0	5.0	4.0		3.0	3.0	2.0	3.0	3.0	3.0	5.0	5.0	4.0	5.0	5.0	4.0	4.0						5.0	4.0	2.0	4.0	5.0	4.0	5.0	5.0	3.0	4.0	5.0	3.0							5.0	3.0	4.0	3.0	4.0
1315	Male	1970.0	Private	Coworker	4.0	3.0	5.0	4.0	3.0	5.0	1.0		4.0	5.0	4.0	2.0	3.0	4.0	4.0	2.0	3.0	4.0	4.0	3.0	3.0	5.0	4.0	4.0	4.0						5.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	3.0	4.0	3.0				3.0	2.0	3.0	3.0			2.0	4.0
1316	Male	1955.0	Private	Manager	4.0	4.0	4.0	4.0	2.0	4.0	2.0	2.0	4.0	4.0	5.0	2.0	5.0	4.0	5.0	2.0	1.0	5.0							5.0						5.0	5.0	4.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0				3.0	3.0	5.0	4.0	3.0
1317	Female	1987.0	Private	Coworker	4.0	3.0	5.0	4.0	3.0	5.0		3.0	4.0	4.0	5.0	1.0	1.0	3.0	3.0	3.0	1.0	4.0	5.0	4.0	3.0	4.0	5.0	4.0	5.0						5.0	4.0	3.0	3.0	4.0	4.0	5.0	5.0	4.0	2.0	4.0	5.0							4.0	3.0	1.0	1.0	
1318	Female	1972.0	Private	Coworker	4.0	4.0	4.0	4.0	3.0	4.0	2.0	2.0	4.0	4.0	2.0	3.0	3.0	4.0	3.0	4.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0						4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0
1319	Female	1979.0	Private	Coworker	4.0	4.0	4.0	3.0				4.0	2.0	4.0	4.0	4.0	4.0	3.0	4.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	5.0						5.0	5.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0		3.0	5.0	4.0	5.0
1320	Male	1976.0	Private	Coworker	4.0	5.0	5.0	4.0	1.0	4.0	4.0	4.0		2.0	4.0	4.0	2.0	3.0	2.0	2.0	1.0	4.0	5.0	5.0	4.0	2.0	3.0		5.0						4.0	4.0	4.0	2.0	4.0	4.0	2.0	4.0	4.0	1.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0		5.0	5.0	3.0
1321	Male	1970.0	Private	Coworker	4.0	4.0	5.0	4.0	2.0	4.0	2.0	2.0	5.0	5.0	4.0	2.0	3.0	5.0	3.0	2.0	2.0	5.0	5.0	4.0	5.0	4.0	4.0	5.0	5.0																											1.0	
1322	Female	1961.0	Private	Coworker	5.0	5.0	5.0	5.0	3.0	5.0	1.0	1.0	5.0	5.0	5.0	1.0	4.0	4.0	5.0	5.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0						5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0
1323	Female	1980.0	Private	Coworker	4.0	2.0	2.0	2.0	1.0	1.0	5.0	1.0	1.0	4.0	2.0	5.0	4.0	4.0	4.0	1.0	2.0	5.0	5.0	5.0	5.0	4.0	4.0	5.0	4.0						2.0	2.0	2.0	2.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0								
1324	Male	1971.0	Private	Coworker	4.0	5.0	5.0	5.0	2.0	5.0	2.0	2.0	4.0	4.0	5.0	2.0	2.0	4.0	4.0	2.0	2.0	4.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0						5.0	5.0	4.0	4.0	2.0	4.0							4.0	4.0	2.0	4.0	4.0	4.0	5.0	5.0	5.0	4.0	5.0
1325	Female	1966.0	Private	Coworker	2.0	5.0	5.0		3.0	5.0	2.0	3.0	4.0	5.0	4.0	3.0	3.0	4.0	4.0	4.0		5.0	4.0	4.0	3.0	5.0	5.0	4.0	5.0						5.0	5.0	4.0		5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	4.0	4.0				5.0	3.0	3.0	4.0	4.0
1326	Female	1984.0	Private	Coworker	2.0	4.0	5.0	3.0	3.0	4.0		2.0	2.0	5.0	4.0					2.0		4.0	4.0	3.0	4.0	5.0	5.0	2.0							5.0	5.0	5.0	4.0	4.0	5.0	2.0	2.0	4.0	2.0	5.0	5.0											5.0
1327	Male	1965.0	Private	Coworker	4.0	3.0	4.0	3.0	2.0	4.0			4.0	4.0	4.0	5.0	1.0	2.0	4.0	2.0	1.0	4.0	4.0	5.0	4.0	5.0	4.0	3.0	4.0						4.0	2.0	3.0	2.0	4.0	3.0	4.0	4.0	3.0	3.0	5.0	4.0							3.0	3.0	2.0	1.0	4.0
1328	Male	1957.0	Private	Manager	2.0	1.0	5.0	4.0	2.0	4.0			2.0	4.0	3.0	5.0	5.0	5.0	4.0	5.0	4.0	4.0							5.0						5.0						5.0						3.0						3.0		4.0	5.0	4.0
1329	Male	1972.0	Private	Coworker	5.0	4.0	5.0	3.0	2.0	3.0		1.0	5.0	5.0		3.0	2.0	4.0	4.0	3.0	3.0	3.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0						3.0	5.0	4.0		5.0	2.0							4.0	4.0	4.0	3.0	3.0	3.0	5.0		3.0	3.0	
1330	Male	1967.0	Private	Coworker	3.0	3.0	4.0	2.0	2.0	4.0	5.0	2.0	2.0	4.0	3.0	3.0	1.0	3.0	2.0	1.0	1.0	4.0	4.0	4.0	4.0	4.0	5.0	3.0	5.0						4.0	5.0	2.0	5.0	4.0	2.0	2.0	5.0	4.0	1.0	3.0	5.0	4.0	4.0	4.0				2.0	3.0	4.0	3.0	4.0
1331	Male	1984.0	Private	Coworker	2.0	4.0	4.0	5.0	2.0	5.0	1.0	2.0	4.0																																												
1332	Male	1970.0	Private	Manager	5.0	4.0	4.0	5.0	4.0	5.0	3.0	3.0	5.0	4.0		4.0	1.0	2.0	1.0	1.0	1.0	1.0							5.0						4.0	5.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0	4.0	5.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	3.0	3.0	2.0	3.0
1333	Male	1979.0	Private	Manager	4.0	4.0	5.0	5.0	4.0	5.0	1.0	1.0	5.0	5.0	5.0	3.0	5.0	5.0	4.0	2.0	4.0	5.0							5.0						5.0	5.0	4.0		5.0	2.0	5.0	5.0	4.0	5.0	5.0	4.0	4.0	5.0	4.0	4.0	4.0	2.0	5.0	2.0	5.0	2.0	5.0
1334	Female	1975.0	Private	Coworker	4.0	4.0	4.0	4.0	4.0	4.0	2.0	2.0	4.0	4.0	4.0	2.0	3.0	3.0	4.0	4.0	3.0	5.0	4.0	5.0	4.0	5.0	4.0	4.0	5.0						5.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	4.0	3.0	3.0	3.0	4.0
1335	Male	1972.0	Private	Coworker	4.0	4.0	5.0	2.0	2.0	4.0		2.0	4.0	5.0	4.0	2.0	2.0	2.0	2.0	4.0	1.0	4.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0						5.0	2.0	2.0	4.0	4.0	2.0	4.0	4.0	2.0	2.0	4.0	4.0	3.0	3.0	3.0				4.0	3.0	2.0	4.0	5.0
1336	Female		Private	Manager	2.0	1.0	3.0	3.0	2.0	5.0	1.0	1.0	5.0	5.0	5.0	4.0	3.0	4.0	5.0	1.0	2.0	5.0							5.0						5.0	5.0	2.0	2.0	5.0	4.0	5.0	5.0	4.0	4.0	5.0	4.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	3.0	4.0	2.0	4.0
1337	Male	1960.0	Private	Manager	5.0	4.0	5.0	5.0	2.0	5.0	1.0	1.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0	5.0	4.0	4.0							5.0						4.0	4.0	1.0	1.0	5.0	2.0	4.0	4.0	2.0	2.0	4.0	2.0	5.0	5.0	5.0				5.0	5.0	5.0	2.0	5.0
1338	Other	1963.0	Private	Manager	4.0	4.0	5.0	5.0	4.0	4.0	3.0	2.0	5.0	5.0	4.0	4.0			4.0	1.0	1.0	4.0							5.0						4.0	5.0	4.0	4.0	5.0	5.0	5.0	5.0	3.0	3.0	5.0	3.0	2.0	2.0	2.0	4.0	4.0	4.0	2.0	3.0	4.0	4.0	5.0
1339	Female	1984.0	Private	Coworker	4.0	3.0	4.0	4.0		4.0	2.0	2.0	4.0	4.0	4.0	1.0	4.0	4.0	4.0	4.0	3.0	4.0	4.0	4.0	2.0	4.0	4.0	2.0	4.0						5.0	3.0	2.0	3.0	4.0	2.0													4.0	3.0	2.0		5.0
1340			Private	Coworker	4.0	2.0	5.0	3.0	1.0	2.0			1.0	3.0	1.0	3.0	4.0	4.0	3.0	2.0	2.0	2.0				4.0			5.0						3.0	3.0	3.0	3.0	3.0	1.0	1.0	2.0	3.0	1.0	2.0	3.0								3.0	3.0	2.0	
1341	Male		Private	Coworker	5.0	4.0	5.0	5.0	4.0	5.0	1.0	1.0	5.0	4.0	4.0	3.0	5.0	5.0	4.0	3.0	3.0	5.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0						5.0	5.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	4.0	4.0	4.0	4.0	2.0	2.0				5.0	3.0	4.0	3.0	5.0
1342	Female	1977.0	Private	Communicator or equivalent 	4.0	5.0	4.0	4.0	2.0	5.0	1.0	3.0	4.0	4.0	3.0	5.0	2.0	4.0	2.0	2.0	2.0	5.0	5.0	4.0	4.0	5.0	4.0	2.0	5.0	2.0	2.0	1.0	1.0	1.0	3.0	4.0	2.0	1.0	3.0	2.0	3.0	4.0	2.0	3.0	4.0	2.0	5.0	5.0	3.0	2.0	4.0	4.0	3.0	2.0	5.0	4.0	5.0
1343	Female	1975.0	Private	Coworker	4.0	3.0	4.0	5.0	4.0				4.0	5.0	4.0		4.0	3.0	4.0	3.0	2.0	5.0	5.0	5.0	4.0	4.0	4.0	2.0	5.0						5.0	4.0	1.0	3.0	4.0	4.0	4.0	5.0	4.0	3.0	5.0		4.0			4.0				3.0	4.0	4.0	3.0
1344	Female	1956.0	Private	Coworker	4.0	4.0	5.0	4.0	2.0	4.0	2.0		4.0	4.0		2.0	4.0	4.0	3.0	3.0	3.0		4.0	4.0	3.0	4.0	4.0	5.0	1.0						5.0	5.0	4.0	4.0	4.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	4.0	3.0
1345	Female	1975.0	Private	Coworker	4.0	5.0	5.0	5.0	2.0	5.0			4.0	5.0	5.0	2.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0							5.0	5.0	4.0	2.0	4.0	4.0							4.0	4.0	4.0	5.0	5.0	5.0	4.0	4.0		4.0	4.0
1346	Male	1970.0	Private	Manager	4.0	5.0	5.0	4.0	4.0	5.0	1.0	2.0	5.0	5.0	5.0	2.0	3.0	4.0	4.0	5.0	2.0	5.0							5.0						5.0	5.0	4.0	5.0	5.0	4.0							4.0	4.0	4.0	3.0	3.0	3.0	4.0	3.0	1.0		4.0
1347	Male	1985.0	Private	Coworker	2.0	2.0	5.0	5.0	2.0	5.0	1.0	1.0	4.0	5.0	1.0	4.0	4.0	4.0	5.0	3.0	4.0	1.0	4.0	5.0	2.0	5.0	5.0	5.0	5.0						5.0	5.0	5.0	5.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	1.0	1.0				5.0	3.0	2.0	5.0	5.0
1348	Female	1963.0	Private	Coworker	4.0	4.0	5.0	5.0	3.0	5.0	1.0	1.0	4.0	5.0	5.0	1.0	4.0	3.0	2.0	4.0		5.0	5.0	5.0	5.0	4.0	4.0	5.0	4.0						4.0	4.0	3.0	3.0	4.0	3.0	4.0	4.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0				3.0	3.0	4.0	3.0	4.0
1349	Female	1982.0	Private	Coworker	4.0	4.0	5.0	5.0	4.0	5.0	1.0		2.0	5.0	5.0	4.0			2.0	2.0	2.0	4.0	4.0	4.0	4.0	5.0		4.0	5.0						5.0	5.0	2.0	4.0	5.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0							5.0	3.0	4.0	4.0	4.0
1350	Male	1981.0	Private	Coworker	5.0	4.0	5.0	5.0		5.0	1.0	1.0	5.0	5.0	5.0	1.0	4.0	4.0	5.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0						5.0	4.0	2.0	5.0	4.0	2.0	5.0	5.0	4.0	5.0	5.0	5.0	3.0	2.0	4.0	4.0	2.0	4.0	3.0	3.0	4.0	4.0	4.0
1351	Female	1978.0	Private	Communicator or equivalent 	4.0	4.0	5.0	1.0	1.0	5.0	4.0	4.0	2.0	5.0	5.0	4.0	2.0	4.0	5.0	1.0	1.0	1.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	5.0	2.0	2.0	2.0	2.0	4.0	4.0	2.0	2.0	2.0	2.0	5.0	5.0	5.0						5.0	2.0	2.0
1352	Male	1983.0	Private	Manager	4.0	4.0	4.0	3.0	3.0	4.0		1.0	4.0	4.0	5.0	4.0	2.0	4.0	3.0	1.0	1.0	4.0							4.0						5.0	5.0	3.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0											
1353	Female	1978.0	Private	Coworker	5.0	5.0	5.0	5.0	2.0	5.0	3.0	3.0	5.0	4.0	5.0		2.0	2.0	2.0	1.0	1.0	5.0	5.0	5.0	4.0	5.0	5.0	5.0	5.0												4.0	5.0	4.0	4.0	4.0	4.0									2.0	2.0	
