AGE [scale: age in months]	GENDER [nominal]	ATTSC1 [ordinal: school is boring]	ATTSC2 [ordinal: school is fun]	ATTSC3 [ordinal: school is the same day after day]	ATTSC4 [ordinal: teachers don't try hard enough]	ATTSC5 [ordinal: sorry when school's out]	ATTSC6 [ordinal: teachers always try to help us]	ATTSC7 [ordinal: like going to school]	ATTSC8 [ordinal: teachers are boring]	ATTSC9 [ordinal: would rather not be at school]	ATTSC10 [ordinal: teachers aren't interested in us kids]	SCMARK [scale: marks for your school]	SELF1 [ordinal: glad to be me]	APPSC1 [ordinal: like my body]	PHYSSC1 [ordinal: am good at sports]	ENGSC1 [ordinal: I get good marks in English]	PARSC1 [ordinal: don't like to be with parents]	PEERSC1 [ordinal: make friends easily]	MATHSC1 [ordinal: among the best in my class for maths]	SCHSC1 [ordinal: good marks in all subjects]	SELF2 [ordinal: would like to be someone else]	APPSC2 [ordinal: I'm good looking]	SCHSC2 [ordinal: often don't understand things at school]	PARSC2 [ordinal: find it easy to talk to my parents]	SELF3 [ordinal: happy with the way I live]	MATHSC2 [ordinal: teachers think I'm good at maths]	SELF4 [ordinal: I often feel worthless]	PHYSSC2 [ordinal: like to do sports]	SCHSC3 [ordinal: among th best in my class at all subjects]	PEERSC2 [ordinal: don't have many friends]	SELF5 [ordinal: have lot to be proud off]	ENGSC2 [ordinal: often don't understand things in English classes]	PARSC3 [ordinal: my parents don't like me]	APPSC3 [ordinal: don't like the way I look]	MATHSC3 [ordinal: good marks in maths]	SELF6 [ordinal: sometimes I think I can't do anything right]	PEERSC3 [ordinal: other kids like me]	APPSC4 [ordinal: have an attractive face]	SELF7 [ordinal: do most things right]	SCHSC4 [ordinal: teachers think I'm clever]	ENGSC3 [ordinal: among the best in my class at English]	PHYSSC3 [ordinal: not good t learning new games]	SELF8 [ordinal: I'm not as good as other kids]	PARSC4 [ordinal: have fun with my parents]	MATHSC4 [ordinal: often don't understand maths]	PHYSSC4 [ordinal: bad at sports]	ENGSC4 [ordinal: teachers think I'm good at English]	SELF9 [ordinal: I'd change a lot about myself if I could]	PEERSC4 [ordinal: other kids want me to be their friend]	ENGGRADE [scale: school grades English]	MATHGRAD [scale: school grades maths]	GPA [scale: grade point average]	DUMETH [scale: ethnicity]	FAMISC_1 [scale: SMEAN(FAMISCO)]	PAREDU_1 [scale: SMEAN(PAREDU)]	FILTER_$ [nominal: gender = 2 (FILTER)]	SCHTYPE [nominal: type of school]	CATHOLIC [nominal]	COE [nominal]	SCHOOLEN [ordinal: quality of school environment]
123	boy	agree strongly	disagree	disagree strongly	agree strongly	disagree	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	0	agree strongly	helemaal niet waar	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	agree strongly	agree strongly	disagree	agree	disagree	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree	agree	disagree	68	73.5	77.8	1	10	6	Not Selected	State	0	1	low
126	boy	disagree strongly	agree strongly	agree	disagree strongly	disagree	agree strongly	agree strongly	disagree strongly	disagree	disagree strongly	10	agree strongly	helemaal niet waar	disagree strongly	agree	disagree strongly	disagree	disagree strongly	disagree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	agree	disagree	disagree strongly	disagree strongly	disagree	agree	disagree strongly	disagree strongly	disagree	agree	agree strongly	agree	agree	disagree	disagree strongly	agree	agree strongly	agree strongly	agree	agree	agree	disagree strongly	agree	88.5	73.5	81.7	1	14	7	Not Selected	Catholic	1	0	low
124	boy	agree	agree	agree	agree	disagree	agree strongly	agree	disagree	disagree strongly	agree strongly	9	agree	een beetje waar	agree strongly	agree	disagree strongly	agree	agree	disagree strongly	agree	agree	agree	disagree	agree strongly	disagree	agree	agree strongly	disagree	agree	agree strongly	agree	disagree strongly	disagree	disagree	agree strongly	agree	agree	agree	disagree	agree	agree	agree strongly	agree strongly	disagree	disagree strongly	agree	disagree strongly	disagree	78	73.6	79	1	2	2	Not Selected	State	0	1	low
128	boy	disagree	agree	disagree	disagree strongly	disagree	agree strongly	agree	disagree	agree	disagree strongly	10	agree strongly	helemaal niet waar	disagree	agree strongly	disagree strongly	disagree	disagree	agree	disagree strongly	agree strongly	agree	agree	agree strongly	agree	agree	agree	disagree	disagree	agree	agree	disagree strongly	disagree strongly	agree	disagree	agree	agree	agree	agree	agree	disagree	disagree	agree strongly	disagree	disagree	agree	agree	agree	77	74	76.8	1	8	5	Not Selected	State	0	1	low
137	boy	disagree	disagree	agree	disagree strongly	disagree strongly	agree strongly	disagree	agree	agree	disagree strongly	8	agree strongly	een beetje waar	agree	disagree	disagree	agree	disagree	disagree	disagree strongly	agree	agree	agree	agree	disagree	agree	agree strongly	disagree	agree	agree	disagree	disagree strongly	disagree	disagree	agree	disagree	disagree	agree	disagree	disagree	agree	agree	agree strongly	agree	agree	disagree	agree	agree	70.5	74	72.4	1	6	6	Not Selected	State	0	1	low
120	girl	disagree	agree	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree	agree	agree	disagree strongly	6	agree	niet echt waar	agree	disagree strongly	disagree strongly	disagree	disagree	disagree	disagree	agree	agree	agree	agree	agree	agree strongly	agree	disagree	disagree strongly	agree strongly	agree strongly	disagree strongly	agree	disagree	agree	disagree	disagree	agree	disagree	disagree strongly	agree	disagree	agree strongly	agree	disagree	disagree	agree	disagree	78.8	74.3	76.7	1	2	4	Selected	State	0	1	low
128	girl	disagree	disagree	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	1	agree strongly	helemaal waar	agree	disagree	disagree strongly	agree	disagree	disagree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	disagree strongly	disagree	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree	disagree strongly	agree	agree	agree	disagree	disagree	disagree strongly	agree	agree strongly	agree	disagree	disagree	disagree strongly	agree	83.6	74.8	82.1	1	15	7	Selected	State	0	1	low
119	boy	disagree	disagree	agree	disagree	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	8	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree strongly	disagree strongly			disagree strongly	agree	agree strongly	agree strongly	disagree		agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	agree	agree strongly	agree	agree	disagree	agree	disagree strongly		agree strongly	agree	disagree strongly	agree	disagree strongly	agree	70	75	75.2	1	18	4	Not Selected	State	0	1	low
120	boy	disagree	agree	agree	disagree	disagree	agree strongly	agree	disagree	disagree strongly	disagree	8	agree	helemaal niet waar	disagree	agree	agree strongly	agree	disagree	agree	disagree strongly	agree strongly	agree	disagree	agree	disagree	disagree	agree strongly	disagree	agree	disagree	agree	disagree strongly	disagree strongly	agree	agree	disagree	disagree	agree	disagree	disagree	disagree	agree	agree	disagree	disagree	disagree	disagree	disagree	76.5	75	76	1	16	10	Not Selected	COE	0	0	low
136	girl	agree	disagree strongly	disagree	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	1	agree	een beetje waar	agree strongly	agree strongly	disagree strongly	agree strongly	disagree	disagree	agree	agree strongly	agree	agree strongly	agree strongly	disagree	agree	agree strongly	disagree	disagree strongly	agree	disagree strongly	disagree strongly	disagree strongly	disagree	disagree	agree	agree strongly	agree strongly	disagree	agree	disagree strongly	agree	agree strongly	disagree	disagree strongly	disagree	disagree strongly	agree	76.6	75	75.8	0	11	6	Selected	State	0	1	low
119	girl	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree strongly	agree	disagree	agree strongly	disagree strongly	10	agree strongly	een beetje waar	disagree	agree strongly	agree strongly	disagree	disagree strongly	disagree	disagree strongly	agree strongly	agree	agree strongly	agree	disagree	agree	agree strongly	agree	disagree strongly	disagree strongly	disagree	disagree strongly	agree	disagree	agree strongly	agree strongly	disagree	agree	agree	agree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree	agree	agree strongly	agree strongly	80	75	78	1	16	7	Selected	State	0	1	low
122	girl	disagree	agree	disagree	disagree strongly	agree	agree strongly	agree	disagree	disagree	disagree strongly	6	agree	helemaal niet waar	agree strongly	disagree	disagree	disagree	agree	disagree	agree	agree	agree	agree	agree strongly	agree	agree	agree strongly	disagree	disagree	disagree	agree	disagree strongly	disagree	agree	disagree	agree	agree	agree	agree	disagree	disagree strongly	agree	agree	disagree	disagree strongly	disagree	agree	disagree	71.5	75.5	73.5	1	10	7	Selected	State	0	1	low
136	girl	disagree strongly	disagree strongly	disagree	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree	disagree	disagree strongly	10	agree strongly	een beetje waar	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	agree	agree strongly	agree	disagree strongly	agree strongly	agree	disagree strongly	agree	agree	agree	agree strongly	agree	agree	agree	agree	agree	agree	agree strongly	agree	disagree strongly	agree	agree	agree strongly	87.3	75.6	81.9	1	0	6	Selected	Catholic	1	0	low
124	girl	agree	disagree	disagree	agree	disagree	agree	disagree	agree	disagree	disagree strongly	8	agree	helemaal niet waar	agree strongly	agree	disagree strongly	agree	disagree	disagree	disagree strongly	agree	agree	agree strongly	agree strongly	disagree	agree	agree strongly	disagree	agree	agree	disagree	disagree strongly	disagree	disagree	agree	disagree	disagree	agree	agree	agree	disagree	agree	agree strongly	disagree	disagree strongly	agree	agree	disagree	72.5	75.7	75.2	1	7	5	Selected	Catholic	1	0	low
123	girl	agree	disagree	agree	disagree	disagree strongly	agree	disagree	agree strongly	disagree strongly	agree	4	disagree	helemaal niet waar	disagree	disagree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree	disagree	disagree	disagree strongly	disagree strongly	disagree	agree	disagree strongly	disagree strongly	disagree	disagree strongly	disagree	agree	disagree	agree strongly	disagree	disagree	disagree	disagree strongly	disagree strongly	75.3	75.8	77.8	0	8	6	Selected	Catholic	1	0	low
122	girl	disagree strongly	disagree	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree strongly	agree	disagree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	agree strongly	agree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	71.5	76.2	73.2	1	0	8	Selected	Catholic	1	0	low
122	girl	agree strongly	disagree	disagree	agree	disagree strongly	agree strongly	disagree	disagree strongly	disagree	disagree strongly	9	agree strongly	helemaal niet waar	disagree strongly	agree	disagree strongly	agree	disagree	disagree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	disagree strongly	disagree	disagree strongly	disagree strongly	agree	disagree	disagree strongly	disagree strongly	agree	agree	agree	agree	agree	disagree	disagree	disagree	disagree	agree strongly	disagree	disagree	agree	disagree	agree	82	77	81	1	6	5	Selected	Catholic	1	0	low
129	boy	agree	disagree	disagree	agree	agree strongly	agree strongly	disagree	agree	agree	disagree		agree	niet echt waar	agree strongly	disagree	disagree strongly	disagree	agree	disagree	disagree strongly	disagree	agree	agree	agree	agree	disagree	agree strongly	disagree	disagree strongly	disagree	agree	disagree strongly	agree	agree	agree	disagree	disagree	disagree	disagree	disagree	disagree	agree	disagree	disagree strongly	disagree	disagree	agree strongly	agree	81.31	77.14	80.81	1	16	4	Not Selected	State	0	1	low
129	boy	agree strongly	agree	agree strongly	disagree	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	disagree	5	agree	helemaal niet waar	agree strongly	disagree	disagree strongly	agree	disagree	disagree	agree	disagree	agree	disagree	agree	disagree	disagree	agree strongly	disagree	disagree	agree	agree strongly	disagree strongly	agree	disagree	agree strongly	disagree	disagree	agree	disagree	disagree	agree strongly	agree	agree strongly	agree strongly	disagree strongly	disagree	agree strongly	agree	85	77.5	80.8	1	18	6	Not Selected	State	0	1	low
129	boy	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	disagree	3	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree strongly	disagree	disagree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree	agree	disagree	agree	disagree strongly	agree	agree strongly	agree	disagree strongly	agree	disagree strongly	agree	91.5	77.5	86.7	0	10	6	Not Selected	State	0	1	low
130	girl	agree strongly	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	disagree	agree	disagree	disagree	7	agree strongly	een beetje waar	disagree	agree strongly	agree strongly	agree	disagree strongly	disagree	disagree strongly	disagree	agree	disagree	agree strongly	disagree	disagree	agree strongly	disagree	disagree	disagree	disagree strongly	disagree strongly	agree	disagree	disagree	agree	disagree	disagree	disagree	agree strongly	agree	disagree	agree strongly	agree strongly	agree	agree	agree	disagree	96	77.5	86.5	1	8	5	Selected	Catholic	1	0	low
129	girl	disagree	agree	agree strongly	agree strongly	agree	agree strongly	agree	disagree	disagree strongly	disagree	8	agree strongly	helemaal niet waar	disagree strongly	agree	disagree strongly	agree	disagree	disagree	disagree	agree	agree	agree strongly	agree strongly	disagree	agree	disagree	disagree	disagree strongly	agree	disagree	disagree strongly	disagree strongly	disagree	disagree	agree strongly	disagree	agree	disagree	disagree	disagree strongly	disagree strongly	agree strongly	agree	disagree	disagree strongly	agree	agree	84.1	77.5	81	1	18	7	Selected	Catholic	1	0	low
124	girl	agree	agree strongly	disagree	disagree strongly	agree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	disagree	disagree	disagree strongly	agree	disagree	disagree	disagree strongly	agree strongly	agree	agree strongly	agree	agree	disagree strongly	agree	disagree	disagree strongly	agree	agree	disagree strongly	disagree strongly	disagree	agree	agree strongly	agree strongly	agree	agree	disagree	agree	agree	agree strongly	disagree	agree	disagree	disagree strongly	agree strongly	73.5	77.5	76	1	18	8	Selected	State	0	1	low
121	boy	agree	agree	agree	disagree strongly	disagree strongly	agree	disagree	agree	agree	disagree strongly	8	agree strongly	helemaal niet waar	agree	disagree	disagree strongly	agree	disagree	disagree	disagree strongly	agree strongly	agree	agree	agree strongly	disagree	agree	agree strongly	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree	disagree strongly	agree	agree strongly	disagree	disagree	disagree strongly	disagree	agree	agree	agree	disagree strongly	disagree	disagree	disagree	84.5	78	84	1	4	4	Not Selected	State	0	1	low
124	girl	disagree strongly	agree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	7	agree	een beetje waar	disagree	agree	disagree strongly	disagree	disagree strongly	disagree	agree strongly	disagree strongly	agree	disagree	disagree	disagree strongly	agree strongly	agree strongly	disagree strongly	agree	disagree strongly	disagree	disagree strongly	agree	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	agree strongly	agree strongly	agree strongly	disagree strongly	disagree	agree strongly	disagree	82	78	81	1	12	6	Selected	COE	0	0	low
120	girl	agree	disagree	disagree	disagree strongly	disagree strongly	agree strongly	disagree	agree	agree	disagree strongly	6	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree	disagree strongly	agree	disagree strongly	agree	agree	agree	agree strongly	agree	disagree strongly	agree	disagree	disagree strongly	disagree	disagree	disagree strongly	disagree strongly	disagree	disagree strongly	agree	agree	disagree	disagree	disagree	disagree strongly	disagree	agree strongly	agree	disagree strongly	disagree	disagree strongly	disagree	80.47	78.06	79.77	1	13	8	Selected	Catholic	1	0	low
124	boy	agree strongly	disagree strongly	agree	agree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	0	agree strongly	helemaal niet waar	agree	agree	agree	agree strongly	disagree	disagree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	agree strongly	agree strongly	disagree	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree	agree	agree strongly	disagree	agree strongly	disagree strongly	disagree strongly	agree strongly	agree	agree strongly	agree	disagree strongly	disagree strongly	agree strongly	agree strongly	70.4	78.3	76.6	1	4	4	Not Selected	State	0	1	low
126	boy	disagree	agree	disagree strongly	disagree	disagree strongly	agree strongly	agree	agree	agree	disagree strongly	9	agree strongly	helemaal niet waar	agree	disagree	disagree strongly	agree	disagree	disagree	disagree strongly	agree	agree	agree strongly	agree strongly	agree	agree	agree strongly	disagree	disagree strongly	disagree	disagree	disagree strongly	disagree	agree	agree	agree strongly	disagree	agree	disagree	disagree	disagree strongly	disagree strongly	agree strongly	disagree	disagree strongly	disagree	disagree	agree	79.7	78.3	78.8	1	6	4	Not Selected	State	0	1	low
129	boy	disagree	agree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree	agree	agree	disagree strongly	9	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	disagree	agree	agree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	agree	agree strongly	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree	disagree strongly	disagree	agree	agree	agree	agree	disagree	disagree	agree strongly	agree	disagree strongly	agree	disagree strongly	disagree	75.8	78.5	78.5	1	10	6	Not Selected	State	0	1	low
119	girl	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	8	agree strongly	helemaal niet waar	agree	agree strongly	disagree strongly	agree	disagree	disagree strongly	disagree	agree strongly	agree	agree strongly	agree strongly	disagree	disagree	agree strongly	agree	disagree strongly	agree	disagree	disagree strongly	disagree strongly	agree	disagree	agree	agree	agree	agree	agree strongly	disagree	agree	agree strongly	agree	disagree	agree strongly	disagree strongly	agree	87	78.5	84.3	1	10	6	Selected	State	0	1	low
130	girl	disagree strongly	agree strongly	disagree	agree	agree	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	een beetje waar	disagree strongly	disagree	disagree strongly	disagree	disagree strongly	disagree strongly	disagree	disagree	agree	disagree	agree strongly	disagree strongly	disagree	agree	disagree strongly	agree	disagree	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	disagree	disagree	disagree strongly	disagree strongly	disagree strongly	disagree	agree strongly	agree strongly	agree	agree	disagree strongly	agree	disagree strongly	83.75	78.5	81.8	1	15	9	Selected	State	0	1	low
120	girl	disagree	agree strongly	agree	agree strongly	agree strongly	agree	agree strongly	disagree strongly	disagree strongly	disagree strongly	10	agree strongly	niet echt waar	disagree	agree strongly	agree strongly	agree strongly	disagree	disagree	agree	agree strongly	agree	disagree strongly	agree	disagree	disagree	agree	disagree	disagree	agree	agree	disagree	agree	disagree	agree	agree strongly	agree	agree	disagree	agree strongly	agree	agree	agree strongly	agree	agree	agree	agree	agree	79.8	78.6	83.7	1	2	7	Selected	State	0	1	low
128	boy	agree	disagree	agree	agree strongly	disagree strongly	agree	disagree strongly	agree	agree strongly	disagree strongly	7	agree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	disagree	disagree	disagree	disagree strongly	agree strongly	agree	disagree	agree strongly	disagree	disagree	agree strongly	disagree strongly	disagree	disagree	disagree	disagree strongly	disagree strongly	disagree	agree	disagree	disagree	agree	disagree	agree	disagree	disagree	agree strongly	agree	disagree strongly	agree	disagree	disagree	84.7	78.9	82	1	8	7	Not Selected	State	0	1	low
120	boy	disagree	disagree	disagree	agree	disagree strongly	agree	agree	agree strongly	disagree	agree strongly	5	agree strongly	niet echt waar	agree strongly	disagree	disagree	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree	agree	agree	agree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree	agree	disagree strongly	disagree	disagree	disagree	disagree	disagree	agree	disagree	disagree	disagree	agree	agree strongly	agree strongly	disagree strongly	disagree	agree	disagree	79	79	86.7	1	4	2	Not Selected	State	0	1	low
121	boy	agree strongly	disagree strongly	disagree strongly	disagree	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree	disagree strongly	7	agree	helemaal niet waar	agree	agree strongly	disagree strongly	agree strongly	agree strongly	agree	disagree strongly	agree	agree	agree strongly	agree strongly	agree strongly	agree	agree strongly	agree strongly	disagree strongly	agree strongly	disagree	disagree strongly	disagree	agree strongly	agree strongly	agree	disagree strongly	disagree	disagree	agree strongly	disagree strongly	disagree strongly	agree	disagree	agree	agree	agree	agree strongly	70	79	73	1	10	5	Not Selected	State	0	1	low
127	boy	agree	agree strongly	agree strongly	disagree	agree strongly	agree strongly	agree	disagree	disagree strongly	disagree strongly	7	agree strongly	helemaal niet waar	agree strongly	disagree	disagree strongly	agree strongly	disagree	disagree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	agree	agree strongly	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree	disagree	disagree strongly	disagree strongly	agree strongly	disagree	disagree strongly	disagree	disagree strongly	agree strongly	68	79	73.8	1	14	6	Not Selected	State	0	1	low
121	boy	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree strongly	agree	disagree strongly	disagree strongly	disagree strongly	9	agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree strongly	disagree	disagree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	agree	agree strongly	disagree	disagree strongly	agree	disagree	disagree strongly	disagree strongly	disagree	agree strongly	agree strongly	agree	agree strongly	disagree	agree	disagree strongly	agree strongly	agree strongly	agree		agree	disagree strongly	agree	80	79	80	1	0	8	Not Selected	Catholic	1	0	low
127	girl	disagree	agree	agree strongly	disagree	agree	agree strongly	agree	disagree	agree	disagree strongly	8	agree strongly	helemaal niet waar	disagree strongly	agree strongly	disagree strongly	agree strongly	agree	agree	disagree strongly	agree	agree	agree strongly	agree strongly	agree	disagree	agree	agree	disagree	agree	disagree	disagree strongly	disagree	agree	disagree	agree	agree	disagree	agree	agree	disagree	agree	agree strongly	disagree	agree	agree	disagree	disagree	82	79	83.3	1	3	4	Selected	State	0	1	low
125	girl	agree	agree	disagree	agree	disagree	agree	agree	disagree	disagree strongly	disagree strongly	3	agree strongly	helemaal niet waar	disagree	disagree	disagree strongly	agree	disagree	disagree	disagree	agree strongly	agree	agree	agree strongly	disagree	disagree strongly	agree	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree strongly	disagree	disagree strongly	agree	agree	agree	agree	disagree	disagree	disagree strongly	agree strongly	agree	disagree	agree	agree	agree	70	79	74	1	17	7	Selected	Catholic	1	0	low
120	boy	agree	agree	disagree strongly	agree strongly	disagree strongly	agree strongly	agree	agree strongly	disagree strongly	agree	10	agree strongly	helemaal niet waar	agree strongly	disagree	disagree strongly	agree	disagree	disagree	disagree strongly	agree strongly	agree	agree	agree strongly	agree	agree strongly	agree strongly	disagree	disagree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree strongly	agree	agree	agree	disagree	disagree	agree strongly	agree	disagree strongly	agree	disagree strongly	agree	86.7	79.2	82.3	1	14	8	Not Selected	COE	0	0	low
123	boy	agree	agree	agree	agree strongly	disagree	agree strongly	agree	agree	disagree strongly	disagree strongly	7	agree strongly	een beetje waar	disagree	disagree strongly	disagree	disagree strongly	agree	disagree strongly	agree	disagree	agree	agree	agree	agree	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree	agree strongly	disagree strongly	disagree	agree	agree	disagree	disagree	disagree	disagree	disagree	agree strongly	disagree	agree	disagree strongly	agree	disagree strongly	agree	disagree strongly	67.5	79.3	72	1	6	5	Not Selected	State	0	1	low
124	girl	disagree	agree strongly	disagree	disagree	disagree	agree	agree	disagree	disagree	disagree	8	agree	een beetje waar	disagree	agree	disagree	agree	disagree	disagree	disagree	disagree	agree	disagree	agree	disagree	agree strongly	agree	disagree strongly	disagree	agree	disagree strongly	disagree	agree	disagree	agree	disagree	disagree strongly	disagree	disagree	agree	agree	agree	agree	disagree	agree	disagree	agree	agree	90	79.5	87.2	1	2	6	Selected	Catholic	1	0	low
122	boy	agree	disagree strongly	disagree	agree	agree strongly	agree strongly	disagree strongly	agree	agree strongly	disagree		agree strongly	helemaal niet waar	agree	agree	disagree strongly	agree	disagree	disagree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	disagree	disagree	agree	disagree strongly	disagree	agree	disagree	disagree strongly	disagree strongly	disagree	disagree	agree	agree	agree	disagree	agree	disagree	disagree	agree strongly	agree	disagree strongly	agree	disagree	agree	71	80	78.8	1	0	2	Not Selected	State	0	1	low
120	boy	agree	disagree	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	8	disagree strongly	helemaal niet waar	agree strongly	agree	disagree strongly	agree	disagree strongly	disagree strongly	agree strongly	agree	agree	agree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	agree strongly	disagree	disagree strongly	disagree strongly	disagree strongly	disagree strongly	agree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	agree strongly	disagree strongly	69	80	75	1	10	6	Not Selected	State	0	1	low
121	boy	disagree	agree strongly	agree	disagree strongly	agree strongly	agree strongly	agree strongly	disagree strongly	disagree strongly	disagree strongly	9	agree	helemaal niet waar	agree	agree	disagree strongly	agree	agree	agree	disagree strongly	agree strongly	agree	agree strongly	agree strongly	agree	disagree	agree strongly	disagree	disagree	agree	agree	disagree	disagree	disagree	disagree	agree	agree	agree	disagree	disagree	agree	agree	agree	agree	disagree	disagree	agree	agree	76	80	78	1	16	8	Not Selected	COE	0	0	low
118	girl	disagree strongly	agree strongly	disagree	disagree strongly	agree	agree strongly	agree strongly	disagree	agree	disagree strongly	8	disagree	helemaal niet waar	disagree	disagree strongly	disagree strongly	agree	disagree	agree	disagree strongly	agree	agree	agree	agree strongly	disagree	disagree	agree	disagree strongly	disagree	disagree	agree strongly	disagree strongly	disagree strongly	disagree	agree strongly	disagree	disagree	agree	disagree strongly	disagree strongly	agree	agree	agree	agree strongly	disagree	disagree	disagree strongly	disagree strongly	75.3	80	83.7	1	6	6	Selected	Catholic	1	0	low
126	girl	disagree strongly	agree	disagree	agree	disagree	agree strongly	agree	disagree strongly	disagree	disagree strongly		agree	een beetje waar	disagree	disagree	disagree strongly	agree strongly	agree	disagree strongly	disagree	agree	agree	agree strongly	agree strongly	agree	agree	agree	disagree	disagree strongly	agree	agree	disagree	disagree strongly	agree	disagree	agree strongly	disagree	agree	disagree	disagree strongly	agree	disagree	disagree	disagree	disagree strongly	disagree	disagree	agree strongly	86.6	80	80.5	1	10	6	Selected	State	0	1	low
